,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
23155,Getting Information,Analyzing Data or Information,Analyzing Data or Information,Getting Information,Analyzing Data or Information
23156,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Getting Information,Getting Information,Getting Information,Getting Information
23157,Performing Administrative Activities,"Inspecting Equipment, Structures, or Materials",Performing Administrative Activities,Documenting/Recording Information,Documenting/Recording Information
23158,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
23159,"Identifying Objects, Actions, and Events","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
23160,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials",Analyzing Data or Information,Analyzing Data or Information
23161,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities,Performing Administrative Activities
23162,Performing Administrative Activities,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
23163,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information",Analyzing Data or Information
23164,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes,Handling and Moving Objects
23165,"Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities,"Monitoring Processes, Materials, or Surroundings"
23166,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23167,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23168,"Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23169,"Operating Vehicles, Mechanized Devices, or Equipment","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23170,"Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23171,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23172,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
23173,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23174,Evaluating Information to Determine Compliance with Standards,"Inspecting Equipment, Structures, or Materials",Evaluating Information to Determine Compliance with Standards,Evaluating Information to Determine Compliance with Standards,"Inspecting Equipment, Structures, or Materials"
23175,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
23176,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
23177,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
23178,"Judging the Qualities of Objects, Services, or People","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23179,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23180,Performing Administrative Activities,Performing Administrative Activities,Monitoring and Controlling Resources,Performing Administrative Activities,"Guiding, Directing, and Motivating Subordinates"
23181,"Judging the Qualities of Objects, Services, or People","Judging the Qualities of Objects, Services, or People","Judging the Qualities of Objects, Services, or People","Judging the Qualities of Objects, Services, or People","Judging the Qualities of Objects, Services, or People"
23182,Scheduling Work and Activities,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates"
23183,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates"
23184,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23185,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23186,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23187,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23188,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
23189,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
23190,Getting Information,Performing for or Working Directly with the Public,Performing for or Working Directly with the Public,Communicating with People Outside the Organization,Communicating with People Outside the Organization
23191,Evaluating Information to Determine Compliance with Standards,"Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings",Evaluating Information to Determine Compliance with Standards,"Judging the Qualities of Objects, Services, or People"
23192,Resolving Conflicts and Negotiating with Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others,Providing Consultation and Advice to Others
23193,Evaluating Information to Determine Compliance with Standards,Evaluating Information to Determine Compliance with Standards,"Monitoring Processes, Materials, or Surroundings",Analyzing Data or Information,Evaluating Information to Determine Compliance with Standards
23194,Getting Information,Getting Information,Getting Information,Getting Information,Getting Information
23195,"Communicating with Supervisors, Peers, or Subordinates",Resolving Conflicts and Negotiating with Others,"Communicating with Supervisors, Peers, or Subordinates",Resolving Conflicts and Negotiating with Others,Resolving Conflicts and Negotiating with Others
23196,"Judging the Qualities of Objects, Services, or People","Judging the Qualities of Objects, Services, or People","Judging the Qualities of Objects, Services, or People","Judging the Qualities of Objects, Services, or People","Monitoring Processes, Materials, or Surroundings"
23197,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
23198,"Inspecting Equipment, Structures, or Materials",Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information
23199,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23200,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23201,"Inspecting Equipment, Structures, or Materials",Making Decisions and Solving Problems,Making Decisions and Solving Problems,Analyzing Data or Information,Making Decisions and Solving Problems
23202,"Inspecting Equipment, Structures, or Materials",Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information,Analyzing Data or Information
23203,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23204,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23205,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23206,Assisting and Caring for Others,Assisting and Caring for Others,Assisting and Caring for Others,Training and Teaching Others,Assisting and Caring for Others
23207,Assisting and Caring for Others,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23208,Communicating with People Outside the Organization,Performing for or Working Directly with the Public,Performing for or Working Directly with the Public,Communicating with People Outside the Organization,Communicating with People Outside the Organization
23209,Interpreting the Meaning of Information for Others,Interpreting the Meaning of Information for Others,Training and Teaching Others,Training and Teaching Others,Training and Teaching Others
23210,"Operating Vehicles, Mechanized Devices, or Equipment",Performing General Physical Activities,"Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings"
23211,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
23212,Processing Information,Processing Information,Processing Information,Processing Information,Processing Information
23213,Documenting/Recording Information,Processing Information,Processing Information,Processing Information,Processing Information
23214,Communicating with People Outside the Organization,Communicating with People Outside the Organization,Communicating with People Outside the Organization,Performing General Physical Activities,Performing General Physical Activities
23215,Monitoring and Controlling Resources,Performing Administrative Activities,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
23216,Communicating with People Outside the Organization,Interpreting the Meaning of Information for Others,Communicating with People Outside the Organization,Interpreting the Meaning of Information for Others,Interpreting the Meaning of Information for Others
23217,Assisting and Caring for Others,Assisting and Caring for Others,Performing General Physical Activities,"Guiding, Directing, and Motivating Subordinates",Making Decisions and Solving Problems
23218,Assisting and Caring for Others,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
23219,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23220,Assisting and Caring for Others,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23221,Handling and Moving Objects,"Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
23222,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials"
23223,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials"
23224,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
23225,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
23226,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
23227,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
23228,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23229,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23230,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23231,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23232,"Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23233,Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings",Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
23234,Getting Information,"Guiding, Directing, and Motivating Subordinates","Communicating with Supervisors, Peers, or Subordinates",Getting Information,"Communicating with Supervisors, Peers, or Subordinates"
23235,"Communicating with Supervisors, Peers, or Subordinates","Guiding, Directing, and Motivating Subordinates","Communicating with Supervisors, Peers, or Subordinates",Getting Information,"Communicating with Supervisors, Peers, or Subordinates"
23236,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
23237,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates",Performing General Physical Activities,"Communicating with Supervisors, Peers, or Subordinates"
23238,Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
23239,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
23240,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23241,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23242,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
23243,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
23244,"Identifying Objects, Actions, and Events",Getting Information,Getting Information,Processing Information,Getting Information
23245,Performing General Physical Activities,Monitoring and Controlling Resources,Selling or Influencing Others,Monitoring and Controlling Resources,Performing General Physical Activities
23246,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
23247,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
23248,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects
23249,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Estimating the Quantifiable Characteristics of Products, Events, or Information",Controlling Machines and Processes
23250,Controlling Machines and Processes,Controlling Machines and Processes,Performing Administrative Activities,Controlling Machines and Processes,Working with Computers
23251,Handling and Moving Objects,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates",Controlling Machines and Processes,Handling and Moving Objects
23252,Handling and Moving Objects,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates",Controlling Machines and Processes,Handling and Moving Objects
23253,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23254,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23255,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Analyzing Data or Information
23256,Processing Information,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Analyzing Data or Information
23257,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes
23258,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23259,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23260,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23261,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23262,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects
23263,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials",Handling and Moving Objects,Handling and Moving Objects
23264,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates"
23265,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23266,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Performing Administrative Activities
23267,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Performing Administrative Activities
23268,Getting Information,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
23269,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23270,"Communicating with Supervisors, Peers, or Subordinates",Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23271,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23272,Controlling Machines and Processes,Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes
23273,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Repairing and Maintaining Mechanical Equipment,Controlling Machines and Processes
23274,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
23275,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
23276,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Controlling Machines and Processes,Handling and Moving Objects
23277,"Estimating the Quantifiable Characteristics of Products, Events, or Information","Inspecting Equipment, Structures, or Materials","Estimating the Quantifiable Characteristics of Products, Events, or Information",Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials"
23278,Controlling Machines and Processes,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates"
23279,"Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates"
23280,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Controlling Machines and Processes,Controlling Machines and Processes
23281,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects
23282,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
23283,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
23284,Performing General Physical Activities,Handling and Moving Objects,Monitoring and Controlling Resources,Performing General Physical Activities,Performing General Physical Activities
23285,Handling and Moving Objects,Handling and Moving Objects,Monitoring and Controlling Resources,Performing General Physical Activities,Performing General Physical Activities
23286,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
23287,Performing General Physical Activities,Training and Teaching Others,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
23288,"Communicating with Supervisors, Peers, or Subordinates",Training and Teaching Others,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates"
23289,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23290,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects
23291,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Controlling Machines and Processes
23292,Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Working with Computers
23293,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects
23294,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23295,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23296,Performing General Physical Activities,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23297,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23298,"Operating Vehicles, Mechanized Devices, or Equipment",Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes
23299,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities
23300,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
23301,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
23302,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment
23303,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment
23304,"Identifying Objects, Actions, and Events",Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
23305,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
23306,Controlling Machines and Processes,Controlling Machines and Processes,"Inspecting Equipment, Structures, or Materials",Controlling Machines and Processes,"Inspecting Equipment, Structures, or Materials"
23307,"Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates","Communicating with Supervisors, Peers, or Subordinates",Performing General Physical Activities
23308,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Controlling Machines and Processes,Performing General Physical Activities
23309,"Operating Vehicles, Mechanized Devices, or Equipment",Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities
23310,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
23311,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
23312,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
23313,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23314,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects,Controlling Machines and Processes,Controlling Machines and Processes
23315,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23316,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23317,"Operating Vehicles, Mechanized Devices, or Equipment",Performing General Physical Activities,"Operating Vehicles, Mechanized Devices, or Equipment",Performing General Physical Activities,Performing General Physical Activities
23318,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Handling and Moving Objects
23319,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
23320,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects
23321,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment,Repairing and Maintaining Mechanical Equipment
23322,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Guiding, Directing, and Motivating Subordinates","Communicating with Supervisors, Peers, or Subordinates"
23323,"Communicating with Supervisors, Peers, or Subordinates","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Guiding, Directing, and Motivating Subordinates","Communicating with Supervisors, Peers, or Subordinates"
23324,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Performing General Physical Activities,Performing General Physical Activities,Repairing and Maintaining Mechanical Equipment
23325,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Assisting and Caring for Others
23326,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources,Monitoring and Controlling Resources
23327,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Monitoring and Controlling Resources
23328,Controlling Machines and Processes,Performing General Physical Activities,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities
23329,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23330,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23331,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23332,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23333,"Inspecting Equipment, Structures, or Materials",Assisting and Caring for Others,Getting Information,Handling and Moving Objects,Monitoring and Controlling Resources
23334,Handling and Moving Objects,Assisting and Caring for Others,Getting Information,Handling and Moving Objects,Monitoring and Controlling Resources
23335,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
23336,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
23337,"Identifying Objects, Actions, and Events","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings",Getting Information,Getting Information
